bbchallenge_id,machine
75466,1RB---_0RC0RD_1RD1RA_1LD0LE_1LB0LA
94280,1RB---_0RC0RD_1LD0RA_0LE0LC_1RB0LB
103530,1RB---_0RC0RE_0RD0RB_1LD0LE_0LA1LB
110507,1RB---_0RC0RE_0LD1RA_1RC0LE_0LA1LD
118397,1RB---_0RC0RE_1RD1RA_1LE0LB_0LA0LD
118403,1RB---_0RC0RE_1RD1RA_1LE1RC_1LB0LE
118404,1RB---_0RC0RE_1RD1RA_1LE1RD_1LB0LE
125999,1RB---_0RC0RE_1LC0LD_1RA0LD_1RB1RD
126007,1RB---_0RC0RE_1LC0LD_1RA0LD_1RD1RD
129520,1RB---_0RC0RE_1LD0RB_0LD0LE_1LA1RA
133326,1RB---_0RC0RE_1LD1RA_1LB0LD_1LD1RE
153165,1RB---_0RC0LB_1RD0RE_1LB1LD_0RA1RE
154724,1RB---_0RC0LB_1RD1RA_0LE0RD_1LB1LE
162158,1RB---_0RC0LB_1LD1RA_0LD0LE_0RA0RB
163311,1RB---_0RC0LB_1LD1RE_1LB0RA_1RA0LD
169926,1RB---_0RC0LC_0LD1RA_1RC0LE_0LA1LD
174874,1RB---_0RC0LC_1RD0LE_1LE0RA_0RB1LA
174875,1RB---_0RC0LC_1RD0LE_1LE0RA_0RD1LA
187889,1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LD
187893,1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LD
187986,1RB---_0RC0LC_1LD1RA_1LE0LD_1RB0RB
206460,1RB---_0RC0LD_1RD0LE_1LC1RA_1LC0LE
206531,1RB---_0RC0LD_1RD0LE_1LE1RA_1LC0LE
210842,1RB---_0RC0LD_1LA0RA_0LC1LE_1RC0LB
211185,1RB---_0RC0LD_1LA0RB_1RB1LE_0LD1LC
227067,1RB---_0RC0LD_1LC1RD_0RA0LE_0RD1LA
243580,1RB---_0RC0LE_0RD1RB_1LA1RA_0LB1LE
261282,1RB---_0RC0LE_1RD1RA_1LD0RB_1LE0LB
290697,1RB---_0RC1RA_0LD0RB_0LE1LC_1LA0LD
291699,1RB---_0RC1RA_1RD0LD_1LC1LE_0RB1RC
292165,1RB---_0RC1RA_1LD0RB_0LD1LE_0RB1RC
292167,1RB---_0RC1RA_1LD0RB_0LD1LE_1LB1RC
292357,1RB---_0RC1RA_1LD1RA_0LE0LD_0RA1LD
292359,1RB---_0RC1RA_1LD1RA_0LE0LD_1RB1LD
292398,1RB---_0RC1RA_1LD1RB_0LE1LC_1LA0LD
292466,1RB---_0RC1RA_1LD1RE_0LE0LD_1RB1LD
292590,1RB---_0RC1RA_1LD1LE_0LC0RB_1RD0LE
296697,1RB---_0RC1RB_0LD1RA_1RC0LE_0LA1LD
299227,1RB---_0RC1RB_1RD0RD_1LE0LB_1LA0LD
299929,1RB---_0RC1RB_1RD0LE_1LC1RA_1LC0LE
300039,1RB---_0RC1RB_1RD0LE_1LE1RA_1LC0LE
302430,1RB---_0RC1RB_1LC0LD_1RA0LE_0RA1LD
302662,1RB---_0RC1RB_1LC0LD_1LE0LB_1LA0RE
304204,1RB---_0RC1RB_1LD0RD_0LE1RE_1RA0LB
305871,1RB---_0RC1RB_1LD1RA_0LE0LD_1RA1LD
305872,1RB---_0RC1RB_1LD1RA_0LE0LD_1LB1LD
320969,1RB---_0RC1RC_1RD1RB_1LE1LD_0RA0LE
321080,1RB---_0RC1RC_1RD1RC_1LE1LD_0RA0LE
328070,1RB---_0RC1RC_1LD0RE_0LD1LE_0RB0LA
331071,1RB---_0RC1RC_1LD1RA_1LE0RD_1RC0LE
344815,1RB---_0RC1RD_0LD0RB_1LD0LE_1RB0LA
351154,1RB---_0RC1RD_1RD0RA_1LE1RA_1LB0LE
